month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry
January,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0
January,04:00 - 04:59,0,0,15,0,37,0,88,0,3,0,1,0,0
January,05:00 - 05:59,2876,61,1108,126,731,85,1823,417,118,86,109,300,769
January,06:00 - 06:59,6480,1262,3277,1117,1762,637,3393,2177,348,417,464,967,2145
January,07:00 - 07:59,9545,1783,4556,2278,2112,1318,3266,3507,514,1170,877,2529,3369
January,08:00 - 08:59,9555,2040,3498,2477,1684,1346,3270,4013,600,1514,940,3682,3383
January,09:00 - 09:59,6005,2323,2728,1896,1484,1019,3532,3810,572,1474,779,3052,2906
January,10:00 - 10:59,4440,2095,2150,1343,1238,845,4020,4239,514,1123,711,1956,2453
January,11:00 - 11:59,4164,2394,2025,1311,1226,796,4425,4676,576,723,804,1854,2519
January,12:00 - 12:59,3623,2321,1853,1294,1122,728,3260,3640,531,610,801,1721,2485
January,13:00 - 13:59,3259,2243,1776,1405,1053,823,4384,4830,554,702,899,1617,2496
January,14:00 - 14:59,2883,2554,1661,1374,1029,829,4473,5437,597,575,1100,1449,2657
January,15:00 - 15:59,2439,3070,1647,1583,1031,856,3220,4693,659,535,1318,1312,2833
January,16:00 - 16:59,2602,3785,1991,1919,1202,1045,3276,5160,822,460,1544,1297,3218
