particulars, report_on_area_planted_(ha)_to_date_2011 , number_of_seedlings_planted_to_date_2011 , report_on_area_planted_(ha)_to_date_2012, number_of_seedlings_planted_to_date_2012, report_on_area_planted_(ha)_to_date_2013, number_of_seedlings_planted_to_date_2013, report_on_area_planted_(ha)_to_date_2014, number_of_seedlings_planted_to_date_2014, report_on_area_planted_(ha)_to_date_total, number_of_seedlings_planted_to_date_total,
National,128558,89624121,221763,125596730,333160,182548862,321532,195069446,1005013,503215115,
Other Partners,31022,26738100,89053,52830549,59190,31883395,27382,20307439,206647,105021428,
DILG,15373,19216233,,,,,,,15373, -   ,
DENR-NGP,82163,43669788,132710,72766181,258262,144505751,279081,163451090,752216,380723055,
CAR ,6672,3471056,9465,4777984,20414,9983593,24178,12390641,60729,27152218,
I (Ilocos Region),5080,2546609,7307,4117676,12851,9753439,13396,9838923,38635,23710038,
II (Cagayan Valley),4305,2095410,6777,3435577,15321,7732366,15060,7860551,41462,19028494,
III (Central Luzon),5548,2731821,8446,3918300,19825,9538624,22343,12185015,56162,25641939,
IV-A (CALABARZON),4760,2960507,8907,5353775,22332,15811733,21535,12505425,57533,33670933,
IV-B (MIMAROPA),5151,2467707,6045,1930537,15894,9167727,19159,10163425,46248,21261689,
V (Bicol Region),6080,3747621,8036,4386941,22096,13462675,20499,12517681,56711,30367330,
VI (Western Visayas),3963,2028752,9482,4364795,11143,6275913,12108,7658614,36696,18299322,
VII (Central Visayas),5737,4045968,6980,5566449,25578,14485982,20238,12607792,58533,32660223,
VIII (Eastern Visayas),8105,3985401,8145,4077075,10516,7577251,19237,14769981,46003,26424307,
IX (Zamboanga Peninsula),4805,2402660,6079,3143294,20998,10494740,19159,12800357,51041,26438391,
X (Northern Mindanao),4337,2176479,8234,4513162,13886,7118500,14129,6801900,40586,18433562,
XI (Davao Region),5734,2865700,6249,2841971,16855,8435010,16223,8916700,45061,20193681,
XII (SOCCSKSARGEN),5008,2733479,8295,4042117,15864,7909055,15934,9310950,45100,21262122,
XIII (Caraga),5523,2732302,7817,4629599,12147,5828848,16162,8259500,41649,18717947,
NCR ,330,164885,916,228888,801,60045,51,34310,2098,323243,
Central Ofiice, -   , -   ,15531,11438041,15708,6159716,9670,4829325,40909,22427082,
ERDB,1027,513431,,,1741,870250,,,2768,870250,
Continuing Targets,,,,,,,," 15,069 "," 11,310,917.00 "," 15,069 "," 11,310,917 "
